settlement,teaor,bin,count,generated_count,diff
Aba,1,1-4,57,71,14
Aba,25,1-4,18,22,4
Aba,31,1-4,8,10,2
Aba,33,1-4,19,24,5
Aba,41,1-4,5,6,1
Aba,43,1-4,51,63,12
Aba,45,1-4,10,12,2
Aba,47,1-4,28,35,7
Aba,49,1-4,10,12,2
Aba,56,1-4,5,6,1
Aba,62,1-4,7,9,2
Aba,66,1-4,6,8,2
Aba,69,1-4,7,9,2
Aba,70,1-4,5,6,1
Aba,81,1-4,8,10,2
Aba,85,1-4,6,8,2
Aba,95,1-4,6,8,2
Aba,96,1-4,23,29,6
Abaliget,27,1-4,5,6,1
Abaliget,74,1-4,5,6,1
Abaliget,96,1-4,5,6,1
Abasár,1,1-4,39,49,10
Abasár,43,1-4,15,19,4
Abasár,45,1-4,7,9,2
Abasár,47,1-4,15,19,4
Abasár,56,1-4,7,9,2
Abasár,66,1-4,9,11,2
Abasár,74,1-4,7,9,2
Abasár,85,1-4,8,10,2
Abasár,86,1-4,5,6,1
Abasár,96,1-4,14,17,3
Abaújkér,47,1-4,5,6,1
Abaújszántó,1,1-4,19,24,5
Abaújszántó,11,1-4,5,6,1
Abaújszántó,2,1-4,6,8,2
Abaújszántó,41,1-4,10,12,2
Abaújszántó,43,1-4,27,34,7
Abaújszántó,45,1-4,8,10,2
Abaújszántó,46,1-4,7,9,2
Abaújszántó,47,1-4,18,22,4
Abaújszántó,55,1-4,6,8,2
Abaújszántó,74,1-4,8,10,2
Abaújszántó,85,1-4,9,11,2
Abaújszántó,86,1-4,5,6,1
Abaújszántó,96,1-4,8,10,2
Abaújvár,47,1-4,5,6,1
Abda,1,1-4,11,14,3
Abda,10,1-4,6,8,2
Abony,1,1-4,105,131,26
Abony,10,1-4,6,8,2
Abony,16,1-4,6,8,2
Abony,41,1-4,20,25,5
Abony,41,5-9,6,8,2
Abony,42,1-4,29,36,7
Abony,42,10-19,9,11,2
Abony,42,5-9,14,17,3
Abony,43,1-4,131,163,32
Abony,43,5-9,8,10,2
Abony,45,1-4,29,36,7
Abony,46,1-4,25,31,6
Abony,46,5-9,5,6,1
Abony,47,1-4,101,126,25
Abony,47,10-19,10,12,2
Abony,47,5-9,11,14,3
Abony,49,1-4,11,14,3
Abony,53,1-4,10,12,2
Abony,56,1-4,17,21,4
Abony,56,10-19,6,8,2
Abony,56,5-9,7,9,2
Abony,62,1-4,6,8,2
Abony,66,1-4,40,50,10
Abony,68,1-4,15,19,4
Abony,69,1-4,23,29,6
Abony,70,1-4,16,20,4
Abony,73,1-4,8,10,2
Abony,74,1-4,20,25,5
Abony,77,1-4,6,8,2
Abony,80,1-4,8,10,2
Abony,81,1-4,10,12,2
Abony,82,1-4,14,17,3
Abony,85,1-4,27,34,7
Abony,86,1-4,33,41,8
Abony,90,1-4,18,22,4
Abony,93,1-4,6,8,2
Abony,95,1-4,8,10,2
Abony,96,1-4,60,75,15
Abádszalók,1,1-4,33,41,8
Abádszalók,25,1-4,22,27,5
Abádszalók,32,1-4,12,15,3
Abádszalók,33,1-4,7,9,2
Abádszalók,41,1-4,11,14,3
Abádszalók,43,1-4,26,32,6
Abádszalók,45,1-4,5,6,1
Abádszalók,47,1-4,32,40,8
Abádszalók,49,1-4,5,6,1
Abádszalók,55,1-4,9,11,2
Abádszalók,56,1-4,9,11,2
Abádszalók,66,1-4,5,6,1
Abádszalók,68,1-4,8,10,2
Abádszalók,69,1-4,7,9,2
Abádszalók,81,1-4,5,6,1
Abádszalók,85,1-4,5,6,1
Abádszalók,86,1-4,6,8,2
Abádszalók,93,1-4,9,11,2
Abádszalók,96,1-4,22,27,5
Acsa,1,1-4,8,10,2
Acsa,43,1-4,16,20,4
Acsa,47,1-4,7,9,2
Acsalag,1,1-4,10,12,2
Acsád,1,1-4,6,8,2
Adony,1,1-4,21,26,5
Adony,10,1-4,5,6,1
Adony,22,1-4,18,22,4
Adony,22,10-19,10,12,2
Adony,23,1-4,23,29,6
Adony,23,10-19,9,11,2
Adony,25,1-4,161,200,39
Adony,25,10-19,100,124,24
Adony,27,1-4,10,12,2
Adony,28,1-4,18,22,4
Adony,28,10-19,12,15,3
Adony,29,1-4,7,9,2
Adony,31,1-4,25,31,6
Adony,31,10-19,21,26,5
Adony,32,1-4,80,99,19
Adony,32,10-19,47,58,11
Adony,33,1-4,129,160,31
Adony,33,10-19,102,127,25
Adony,43,1-4,65,81,16
Adony,45,1-4,15,19,4
Adony,47,1-4,31,39,8
Adony,47,5-9,6,8,2
Adony,49,1-4,8,10,2
Adony,56,1-4,6,8,2
Adony,66,1-4,8,10,2
Adony,68,1-4,7,9,2
Adony,69,1-4,12,15,3
Adony,74,1-4,7,9,2
Adony,81,1-4,5,6,1
Adony,82,1-4,13,16,3
Adony,85,1-4,9,11,2
Adony,86,1-4,7,9,2
Adony,96,1-4,36,45,9
Adács,1,1-4,19,24,5
Adács,32,1-4,16,20,4
Adács,33,1-4,23,29,6
Adács,43,1-4,22,27,5
Adács,47,1-4,11,14,3
