settlement,input_count,generated_count,diff,rel_diff,ratio
Aba,279,348,69,0.24731182795698925,1.2473118279569892
Abaliget,15,18,3,0.2,1.2
Abasár,126,158,32,0.25396825396825395,1.253968253968254
Abaújkér,5,6,1,0.2,1.2
Abaújszántó,136,170,34,0.25,1.25
Abaújvár,5,6,1,0.2,1.2
Abda,17,22,5,0.29411764705882354,1.2941176470588236
Abony,884,1104,220,0.248868778280543,1.248868778280543
Abádszalók,238,295,57,0.23949579831932774,1.2394957983193278
Acsa,31,39,8,0.25806451612903225,1.2580645161290323
Acsalag,10,12,2,0.2,1.2
Acsád,6,8,2,0.3333333333333333,1.3333333333333333
Adony,1033,1284,251,0.24298160696999033,1.2429816069699904
Adács,123,155,32,0.2601626016260163,1.2601626016260163
Adásztevel,27,34,7,0.25925925925925924,1.2592592592592593
Aggtelek,18,22,4,0.2222222222222222,1.2222222222222223
Ajak,243,303,60,0.24691358024691357,1.2469135802469136
Ajka,1917,2387,470,0.24517475221700574,1.2451747522170058
Aka,5,6,1,0.2,1.2
Akasztó,233,290,57,0.2446351931330472,1.2446351931330473
Alacska,21,26,5,0.23809523809523808,1.2380952380952381
Alap,93,115,22,0.23655913978494625,1.2365591397849462
Alattyán,63,77,14,0.2222222222222222,1.2222222222222223
Albertirsa,1058,1318,260,0.24574669187145556,1.2457466918714555
Alcsútdoboz,44,54,10,0.22727272727272727,1.2272727272727273
Aldebrõ,29,36,7,0.2413793103448276,1.2413793103448276
Algyõ,394,489,95,0.24111675126903553,1.2411167512690355
Almamellék,5,6,1,0.2,1.2
Almásfüzitõ,27,35,8,0.2962962962962963,1.2962962962962963
Almáskamarás,29,36,7,0.2413793103448276,1.2413793103448276
Almáskeresztúr,15,19,4,0.26666666666666666,1.2666666666666666
Alsóberecki,5,6,1,0.2,1.2
Alsónyék,26,32,6,0.23076923076923078,1.2307692307692308
Alsónána,5,6,1,0.2,1.2
Alsónémedi,675,840,165,0.24444444444444444,1.2444444444444445
Alsópáhok,14,17,3,0.21428571428571427,1.2142857142857142
Alsóregmec,23,29,6,0.2608695652173913,1.2608695652173914
Alsószentiván,32,40,8,0.25,1.25
Alsószentmárton,18,23,5,0.2777777777777778,1.2777777777777777
Alsótelekes,7,9,2,0.2857142857142857,1.2857142857142858
Alsótold,15,18,3,0.2,1.2
Alsóvadász,39,50,11,0.28205128205128205,1.2820512820512822
Alsózsolca,188,235,47,0.25,1.25
Alsóörs,179,224,45,0.25139664804469275,1.2513966480446927
Alsóújlak,5,6,1,0.2,1.2
Ambrózfalva,5,6,1,0.2,1.2
Anarcs,78,97,19,0.24358974358974358,1.2435897435897436
Andocs,18,23,5,0.2777777777777778,1.2777777777777777
Andornaktálya,180,224,44,0.24444444444444444,1.2444444444444445
Annavölgy,21,27,6,0.2857142857142857,1.2857142857142858
Apagy,115,143,28,0.24347826086956523,1.2434782608695651
Apaj,38,48,10,0.2631578947368421,1.263157894736842
Aparhant,64,80,16,0.25,1.25
Apc,434,540,106,0.24423963133640553,1.2442396313364055
Apostag,128,159,31,0.2421875,1.2421875
Apátfalva,175,218,43,0.24571428571428572,1.2457142857142858
Aranyosapáti,26,33,7,0.2692307692307692,1.2692307692307692
Aranyosgadány,7,9,2,0.2857142857142857,1.2857142857142858
Arló,33,41,8,0.24242424242424243,1.2424242424242424
Arnót,127,159,32,0.25196850393700787,1.2519685039370079
Aszaló,27,33,6,0.2222222222222222,1.2222222222222223
Aszód,470,587,117,0.24893617021276596,1.248936170212766
Aszófõ,102,128,26,0.2549019607843137,1.2549019607843137
Atkár,96,119,23,0.23958333333333334,1.2395833333333333
Attala,22,28,6,0.2727272727272727,1.2727272727272727
Babarc,22,27,5,0.22727272727272727,1.2272727272727273
Babosdöbréte,6,8,2,0.3333333333333333,1.3333333333333333
Babócsa,10,12,2,0.2,1.2
Babót,11,14,3,0.2727272727272727,1.2727272727272727
Badacsonytomaj,236,294,58,0.2457627118644068,1.2457627118644068
Badacsonytördemic,23,28,5,0.21739130434782608,1.2173913043478262
Bag,238,299,61,0.25630252100840334,1.2563025210084033
Bagamér,71,88,17,0.23943661971830985,1.2394366197183098
Bagod,14,17,3,0.21428571428571427,1.2142857142857142
Baj,212,266,54,0.25471698113207547,1.2547169811320755
Baja,3204,3986,782,0.24406991260923847,1.2440699126092385
Bajna,96,119,23,0.23958333333333334,1.2395833333333333
Bajót,46,59,13,0.2826086956521739,1.2826086956521738
Bak,18,22,4,0.2222222222222222,1.2222222222222223
Bakonszeg,129,161,32,0.24806201550387597,1.248062015503876
Bakonybánk,6,8,2,0.3333333333333333,1.3333333333333333
Bakonybél,58,73,15,0.25862068965517243,1.2586206896551724
Bakonycsernye,114,143,29,0.2543859649122807,1.2543859649122806
Bakonyjákó,14,18,4,0.2857142857142857,1.2857142857142858
Bakonykúti,5,6,1,0.2,1.2
Bakonynána,23,29,6,0.2608695652173913,1.2608695652173914
Bakonypölöske,130,164,34,0.26153846153846155,1.2615384615384615
Bakonyszentiván,5,6,1,0.2,1.2
Bakonyszentkirály,163,204,41,0.25153374233128833,1.2515337423312884
Bakonyszentlászló,13,16,3,0.23076923076923078,1.2307692307692308
Bakonyszombathely,47,58,11,0.23404255319148937,1.2340425531914894
Bakonysárkány,9,11,2,0.2222222222222222,1.2222222222222223
Bakonytamási,12,15,3,0.25,1.25
Baks,93,116,23,0.24731182795698925,1.2473118279569892
Baksa,34,43,9,0.2647058823529412,1.2647058823529411
Baktakék,12,15,3,0.25,1.25
Baktalórántháza,120,149,29,0.24166666666666667,1.2416666666666667
Baktüttös,6,8,2,0.3333333333333333,1.3333333333333333
Balassagyarmat,1093,1363,270,0.24702653247941445,1.2470265324794145
Balaton,13,17,4,0.3076923076923077,1.3076923076923077
Balatonakali,52,65,13,0.25,1.25
Balatonakarattya,211,262,51,0.24170616113744076,1.2417061611374407
Balatonalmádi,1051,1309,258,0.24548049476688868,1.2454804947668887
Balatonberény,65,83,18,0.27692307692307694,1.2769230769230768
Balatonboglár,609,756,147,0.2413793103448276,1.2413793103448276
Balatoncsicsó,12,16,4,0.3333333333333333,1.3333333333333333
Balatonederics,73,92,19,0.2602739726027397,1.2602739726027397
Balatonendréd,84,104,20,0.23809523809523808,1.2380952380952381
Balatonfenyves,142,177,35,0.24647887323943662,1.2464788732394365
Balatonfõkajár,88,110,22,0.25,1.25
Balatonföldvár,266,330,64,0.24060150375939848,1.2406015037593985
Balatonfûzfõ,368,458,90,0.24456521739130435,1.2445652173913044
Balatonfüred,2429,3020,591,0.24331000411692055,1.2433100041169205
Balatonhenye,12,16,4,0.3333333333333333,1.3333333333333333
Balatonkenese,284,353,69,0.24295774647887325,1.2429577464788732
Balatonkeresztúr,143,178,35,0.24475524475524477,1.2447552447552448
Balatonlelle,628,781,153,0.24363057324840764,1.2436305732484076
Balatonmáriafürdõ,44,55,11,0.25,1.25
Balatonszabadi,721,898,177,0.24549237170596394,1.2454923717059638
Balatonszemes,134,167,33,0.2462686567164179,1.2462686567164178
Balatonszentgyörgy,107,134,27,0.2523364485981308,1.2523364485981308
Balatonszepezd,7,9,2,0.2857142857142857,1.2857142857142858
Balatonszárszó,255,319,64,0.25098039215686274,1.2509803921568627
Balatonszõlõs,53,66,13,0.24528301886792453,1.2452830188679245
Balatonvilágos,128,160,32,0.25,1.25
Balatonõszöd,18,23,5,0.2777777777777778,1.2777777777777777
Balatonújlak,12,16,4,0.3333333333333333,1.3333333333333333
Balinka,5,6,1,0.2,1.2
Balkány,321,400,79,0.24610591900311526,1.2461059190031152
Ballószög,304,379,75,0.24671052631578946,1.2467105263157894
Balmazújváros,1369,1702,333,0.24324324324324326,1.2432432432432432
Balogunyom,6,8,2,0.3333333333333333,1.3333333333333333
Balotaszállás,61,76,15,0.2459016393442623,1.2459016393442623
Balsa,17,21,4,0.23529411764705882,1.2352941176470589
Balástya,488,610,122,0.25,1.25
Bana,99,124,25,0.25252525252525254,1.2525252525252526
Barabás,26,32,6,0.23076923076923078,1.2307692307692308
Baracs,222,277,55,0.24774774774774774,1.2477477477477477
Baracska,157,195,38,0.24203821656050956,1.2420382165605095
Barbacs,12,15,3,0.25,1.25
Barcs,630,785,155,0.24603174603174602,1.246031746031746
Battonya,211,262,51,0.24170616113744076,1.2417061611374407
Baté,16,20,4,0.25,1.25
Bazsi,21,26,5,0.23809523809523808,1.2380952380952381
Becsehely,30,37,7,0.23333333333333334,1.2333333333333334
Becske,8,10,2,0.25,1.25
Becsvölgye,7,9,2,0.2857142857142857,1.2857142857142858
Bedõ,11,14,3,0.2727272727272727,1.2727272727272727
Bekecs,162,204,42,0.25925925925925924,1.2592592592592593
Bekölce,5,6,1,0.2,1.2
Belecska,7,9,2,0.2857142857142857,1.2857142857142858
Beled,10,12,2,0.2,1.2
Beleg,18,22,4,0.2222222222222222,1.2222222222222223
Belezna,21,26,5,0.23809523809523808,1.2380952380952381
Beloiannisz,35,44,9,0.2571428571428571,1.2571428571428571
Belvárdgyula,8,10,2,0.25,1.25
Benk,8,10,2,0.25,1.25
Bercel,66,83,17,0.25757575757575757,1.2575757575757576
Beregdaróc,24,30,6,0.25,1.25
Beregsurány,27,34,7,0.25925925925925924,1.2592592592592593
Berekböszörmény,60,76,16,0.26666666666666666,1.2666666666666666
Berekfürdõ,40,51,11,0.275,1.275
Beremend,69,85,16,0.2318840579710145,1.2318840579710144
Berente,15,19,4,0.26666666666666666,1.2666666666666666
Berettyóújfalu,1220,1521,301,0.24672131147540985,1.2467213114754099
Berhida,236,293,57,0.24152542372881355,1.2415254237288136
Berkenye,17,21,4,0.23529411764705882,1.2352941176470589
Berkesd,15,19,4,0.26666666666666666,1.2666666666666666
Berkesz,13,17,4,0.3076923076923077,1.3076923076923077
Bernecebaráti,12,15,3,0.25,1.25
Berzence,375,468,93,0.248,1.248
Berzék,12,15,3,0.25,1.25
Besenyszög,118,148,30,0.2542372881355932,1.2542372881355932
Besenyõd,15,19,4,0.26666666666666666,1.2666666666666666
Besenyõtelek,193,241,48,0.24870466321243523,1.2487046632124352
Besnyõ,63,77,14,0.2222222222222222,1.2222222222222223
Beszterec,68,84,16,0.23529411764705882,1.2352941176470589
Bezenye,21,26,5,0.23809523809523808,1.2380952380952381
Bezeréd,11,14,3,0.2727272727272727,1.2727272727272727
Bezi,5,6,1,0.2,1.2
Biatorbágy,1661,2072,411,0.24744130042143286,1.2474413004214329
Bicske,891,1110,219,0.24579124579124578,1.245791245791246
Bicsérd,20,25,5,0.25,1.25
Bihardancsháza,7,9,2,0.2857142857142857,1.2857142857142858
Biharkeresztes,190,236,46,0.24210526315789474,1.2421052631578948
Biharnagybajom,72,90,18,0.25,1.25
Bihartorda,20,24,4,0.2,1.2
Biharugra,38,48,10,0.2631578947368421,1.263157894736842
Bikal,56,70,14,0.25,1.25
Bikács,13,17,4,0.3076923076923077,1.3076923076923077
Biri,53,66,13,0.24528301886792453,1.2452830188679245
Birján,14,17,3,0.21428571428571427,1.2142857142857142
Boconád,35,44,9,0.2571428571428571,1.2571428571428571
Bocska,11,14,3,0.2727272727272727,1.2727272727272727
Bocskaikert,304,376,72,0.23684210526315788,1.236842105263158
Boda,7,9,2,0.2857142857142857,1.2857142857142858
Bodajk,197,245,48,0.2436548223350254,1.2436548223350254
Bodmér,12,15,3,0.25,1.25
Bodrog,8,10,2,0.25,1.25
Bodroghalom,26,33,7,0.2692307692307692,1.2692307692307692
Bodrogkeresztúr,311,387,76,0.24437299035369775,1.2443729903536977
Bodrogkisfalud,35,43,8,0.22857142857142856,1.2285714285714286
Bodrogolaszi,29,36,7,0.2413793103448276,1.2413793103448276
Bogyiszló,90,113,23,0.25555555555555554,1.2555555555555555
Bogyoszló,19,24,5,0.2631578947368421,1.263157894736842
Bogács,106,131,25,0.2358490566037736,1.2358490566037736
Bogád,56,70,14,0.25,1.25
Bogádmindszent,7,9,2,0.2857142857142857,1.2857142857142858
Bojt,7,9,2,0.2857142857142857,1.2857142857142858
Bokod,135,168,33,0.24444444444444444,1.2444444444444445
Boldog,214,267,53,0.24766355140186916,1.2476635514018692
Boldogasszonyfa,13,16,3,0.23076923076923078,1.2307692307692308
Boldogkõváralja,30,38,8,0.26666666666666666,1.2666666666666666
Boldva,43,53,10,0.23255813953488372,1.2325581395348837
Bolhás,15,19,4,0.26666666666666666,1.2666666666666666
Bolhó,6,8,2,0.3333333333333333,1.3333333333333333
Bonnya,11,14,3,0.2727272727272727,1.2727272727272727
Bonyhád,1048,1307,259,0.24713740458015268,1.2471374045801527
Bordány,306,381,75,0.24509803921568626,1.2450980392156863
Borjád,20,25,5,0.25,1.25
Borota,63,79,16,0.25396825396825395,1.253968253968254
Borsfa,10,12,2,0.2,1.2
Borsodgeszt,11,14,3,0.2727272727272727,1.2727272727272727
Borsodivánka,11,14,3,0.2727272727272727,1.2727272727272727
Borsodnádasd,54,69,15,0.2777777777777778,1.2777777777777777
Borsodszentgyörgy,25,32,7,0.28,1.28
Borsodszirák,27,34,7,0.25925925925925924,1.2592592592592593
Borsosberény,14,17,3,0.21428571428571427,1.2142857142857142
Borzavár,34,42,8,0.23529411764705882,1.2352941176470589
Botpalád,10,12,2,0.2,1.2
Botykapeterd,18,22,4,0.2222222222222222,1.2222222222222223
Bucsa,39,49,10,0.2564102564102564,1.2564102564102564
Bucsu,7,9,2,0.2857142857142857,1.2857142857142858
Budajenõ,223,278,55,0.24663677130044842,1.2466367713004485
Budakalász,1275,1587,312,0.2447058823529412,1.244705882352941
Budakeszi,1728,2154,426,0.2465277777777778,1.2465277777777777
Budapest 01. kerület,4492,5588,1096,0.2439893143365984,1.2439893143365983
Budapest 02. kerület,15783,19629,3846,0.24367990876259266,1.2436799087625927
Budapest 03. kerület,17844,22185,4341,0.24327505043712172,1.2432750504371217
Budapest 04. kerület,9169,11404,2235,0.24375613480205038,1.2437561348020505
Budapest 05. kerület,7249,9018,1769,0.2440336598151469,1.244033659815147
Budapest 06. kerület,8658,10770,2112,0.24393624393624394,1.243936243936244
Budapest 07. kerület,7399,9205,1806,0.24408703878902555,1.2440870387890255
Budapest 08. kerület,9634,11982,2348,0.24372015777454847,1.2437201577745485
Budapest 09. kerület,8658,10775,2117,0.24451374451374452,1.2445137445137444
Budapest 10. kerület,8182,10184,2002,0.24468345147885603,1.244683451478856
Budapest 11. kerület,20926,26017,5091,0.243285864474816,1.243285864474816
Budapest 12. kerület,9075,11286,2211,0.24363636363636362,1.2436363636363637
Budapest 13. kerület,18310,22771,4461,0.2436373566357182,1.2436373566357182
Budapest 14. kerület,16142,20082,3940,0.24408375665964566,1.2440837566596457
Budapest 15. kerület,8697,10820,2123,0.24410716338967461,1.2441071633896745
Budapest 16. kerület,9440,11743,2303,0.24396186440677967,1.2439618644067796
Budapest 17. kerület,9167,11400,2233,0.24359114214028582,1.2435911421402859
Budapest 18. kerület,10236,12731,2495,0.24374755763970302,1.243747557639703
Budapest 19. kerület,6055,7531,1476,0.24376548307184145,1.2437654830718414
Budapest 20. kerület,5876,7309,1433,0.24387338325391422,1.2438733832539142
Budapest 21. kerület,6699,8337,1638,0.2445141065830721,1.244514106583072
Budapest 22. kerület,6698,8331,1633,0.24380412063302478,1.2438041206330248
Budapest 23. kerület,2185,2717,532,0.24347826086956523,1.2434782608695651
Budaörs,4393,5463,1070,0.24356931481903027,1.2435693148190303
Bugac,338,423,85,0.2514792899408284,1.2514792899408285
Bugyi,420,525,105,0.25,1.25
Buj,91,114,23,0.25274725274725274,1.2527472527472527
Buják,37,46,9,0.24324324324324326,1.2432432432432432
Buzsák,52,66,14,0.2692307692307692,1.2692307692307692
Bábolna,212,262,50,0.2358490566037736,1.2358490566037736
Bábonymegyer,19,23,4,0.21052631578947367,1.2105263157894737
Bácsalmás,414,515,101,0.24396135265700483,1.2439613526570048
Bácsbokod,111,138,27,0.24324324324324326,1.2432432432432432
Bácsborsód,37,46,9,0.24324324324324326,1.2432432432432432
Bácsszõlõs,6,8,2,0.3333333333333333,1.3333333333333333
Bágyogszovát,25,31,6,0.24,1.24
Bálványos,16,20,4,0.25,1.25
Bánd,113,141,28,0.24778761061946902,1.247787610619469
Bánhorváti,21,26,5,0.23809523809523808,1.2380952380952381
Bánk,29,37,8,0.27586206896551724,1.2758620689655173
Bánréve,15,19,4,0.26666666666666666,1.2666666666666666
Bár,6,8,2,0.3333333333333333,1.3333333333333333
Bárdudvarnok,52,64,12,0.23076923076923078,1.2307692307692308
Bárna,13,16,3,0.23076923076923078,1.2307692307692308
Bársonyos,11,14,3,0.2727272727272727,1.2727272727272727
Báránd,164,205,41,0.25,1.25
Báta,58,72,14,0.2413793103448276,1.2413793103448276
Bátaapáti,7,9,2,0.2857142857142857,1.2857142857142858
Bátaszék,336,417,81,0.24107142857142858,1.2410714285714286
Bátmonostor,59,74,15,0.2542372881355932,1.2542372881355932
Bátonyterenye,442,548,106,0.2398190045248869,1.239819004524887
Bátor,10,12,2,0.2,1.2
Bátorliget,45,56,11,0.24444444444444444,1.2444444444444445
Bátya,152,191,39,0.2565789473684211,1.256578947368421
Béb,11,14,3,0.2727272727272727,1.2727272727272727
Békés,1313,1635,322,0.24523990860624523,1.2452399086062453
Békéscsaba,5845,7265,1420,0.24294268605645852,1.2429426860564585
Békésszentandrás,366,459,93,0.2540983606557377,1.2540983606557377
Békéssámson,90,111,21,0.23333333333333334,1.2333333333333334
Bélapátfalva,109,139,30,0.27522935779816515,1.275229357798165
Bélavár,5,6,1,0.2,1.2
Bélmegyer,37,46,9,0.24324324324324326,1.2432432432432432
Bénye,40,49,9,0.225,1.225
Bérbaltavár,6,8,2,0.3333333333333333,1.3333333333333333
Bócsa,252,314,62,0.24603174603174602,1.246031746031746
Bódvaszilas,17,21,4,0.23529411764705882,1.2352941176470589
Bókaháza,9,11,2,0.2222222222222222,1.2222222222222223
Bóly,316,391,75,0.23734177215189872,1.2373417721518987
Bózsva,6,8,2,0.3333333333333333,1.3333333333333333
Bõ,9,11,2,0.2222222222222222,1.2222222222222223
Bõcs,269,335,66,0.24535315985130113,1.245353159851301
Bõny,17,21,4,0.23529411764705882,1.2352941176470589
Bõszénfa,6,8,2,0.3333333333333333,1.3333333333333333
Bõsárkány,15,18,3,0.2,1.2
Böhönye,159,197,38,0.2389937106918239,1.2389937106918238
Bököny,121,151,30,0.24793388429752067,1.2479338842975207
Bölcske,128,158,30,0.234375,1.234375
Búcsúszentlászló,11,14,3,0.2727272727272727,1.2727272727272727
Bük,7,9,2,0.2857142857142857,1.2857142857142858
Bükkaranyos,62,77,15,0.24193548387096775,1.2419354838709677
Bükkszenterzsébet,11,14,3,0.2727272727272727,1.2727272727272727
Bükkszentkereszt,38,49,11,0.2894736842105263,1.2894736842105263
Bükkszék,16,20,4,0.25,1.25
Bükkzsérc,29,37,8,0.27586206896551724,1.2758620689655173
Bükkábrány,151,188,37,0.24503311258278146,1.2450331125827814
Bükkösd,76,97,21,0.27631578947368424,1.2763157894736843
Cece,178,222,44,0.24719101123595505,1.247191011235955
Cegléd,2855,3551,696,0.24378283712784588,1.2437828371278459
Ceglédbercel,200,250,50,0.25,1.25
Celldömölk,34,42,8,0.23529411764705882,1.2352941176470589
Cered,16,20,4,0.25,1.25
Cibakháza,93,116,23,0.24731182795698925,1.2473118279569892
Cigánd,65,81,16,0.24615384615384617,1.2461538461538462
Cikó,28,35,7,0.25,1.25
Cirák,16,20,4,0.25,1.25
Csabacsûd,67,83,16,0.23880597014925373,1.2388059701492538
Csabaszabadi,12,15,3,0.25,1.25
Csabdi,54,67,13,0.24074074074074073,1.2407407407407407
Csabrendek,138,171,33,0.2391304347826087,1.2391304347826086
Csaholc,7,9,2,0.2857142857142857,1.2857142857142858
Csajág,28,35,7,0.25,1.25
Csanytelek,380,473,93,0.24473684210526317,1.2447368421052631
Csanádapáca,155,193,38,0.24516129032258063,1.2451612903225806
Csanádpalota,106,133,27,0.25471698113207547,1.2547169811320755
Csapi,6,8,2,0.3333333333333333,1.3333333333333333
Csapod,9,11,2,0.2222222222222222,1.2222222222222223
Csaroda,24,30,6,0.25,1.25
Csataszög,105,131,26,0.24761904761904763,1.2476190476190476
Csatka,5,6,1,0.2,1.2
Csegöld,21,26,5,0.23809523809523808,1.2380952380952381
Csehbánya,77,96,19,0.24675324675324675,1.2467532467532467
Csemõ,205,256,51,0.24878048780487805,1.248780487804878
Csengele,341,423,82,0.2404692082111437,1.2404692082111437
Csenger,367,457,90,0.2452316076294278,1.2452316076294279
Csengersima,22,28,6,0.2727272727272727,1.2727272727272727
Csengerújfalu,35,43,8,0.22857142857142856,1.2285714285714286
Csengõd,133,166,33,0.24812030075187969,1.2481203007518797
Csepreg,23,29,6,0.2608695652173913,1.2608695652173914
Cserháthaláp,6,8,2,0.3333333333333333,1.3333333333333333
Cserhátsurány,23,29,6,0.2608695652173913,1.2608695652173914
Cserkeszõlõ,225,282,57,0.25333333333333335,1.2533333333333334
Cserkút,35,43,8,0.22857142857142856,1.2285714285714286
Cserszegtomaj,21,26,5,0.23809523809523808,1.2380952380952381
Cserépfalu,38,48,10,0.2631578947368421,1.263157894736842
Cserépváralja,5,6,1,0.2,1.2
Csesznek,10,12,2,0.2,1.2
Csesztreg,11,14,3,0.2727272727272727,1.2727272727272727
Csetény,74,91,17,0.22972972972972974,1.2297297297297298
Csikéria,11,14,3,0.2727272727272727,1.2727272727272727
Csikóstõttõs,10,12,2,0.2,1.2
Csipkerek,6,8,2,0.3333333333333333,1.3333333333333333
Csitár,5,6,1,0.2,1.2
Csobaj,15,19,4,0.26666666666666666,1.2666666666666666
Csobánka,317,396,79,0.24921135646687698,1.249211356466877
Csokonyavisonta,72,89,17,0.2361111111111111,1.2361111111111112
Csolnok,158,196,38,0.24050632911392406,1.240506329113924
Csoma,6,8,2,0.3333333333333333,1.3333333333333333
Csomád,1198,1493,295,0.24624373956594323,1.2462437395659431
Csongrád,1588,1977,389,0.24496221662468515,1.2449622166246852
Csonkahegyhát,7,9,2,0.2857142857142857,1.2857142857142858
Csopak,224,278,54,0.24107142857142858,1.2410714285714286
Csorna,86,107,21,0.2441860465116279,1.244186046511628
Csorvás,229,285,56,0.2445414847161572,1.244541484716157
Csurgó,224,278,54,0.24107142857142858,1.2410714285714286
Csurgónagymarton,5,6,1,0.2,1.2
Csákberény,62,77,15,0.24193548387096775,1.2419354838709677
Csákvár,377,469,92,0.2440318302387268,1.2440318302387268
Csákánydoroszló,14,17,3,0.21428571428571427,1.2142857142857142
Csány,94,117,23,0.24468085106382978,1.2446808510638299
Csányoszró,16,20,4,0.25,1.25
Csárdaszállás,19,24,5,0.2631578947368421,1.263157894736842
Császár,80,99,19,0.2375,1.2375
Császártöltés,144,178,34,0.2361111111111111,1.2361111111111112
Csátalja,34,43,9,0.2647058823529412,1.2647058823529411
Csávoly,59,73,14,0.23728813559322035,1.2372881355932204
Csécse,5,6,1,0.2,1.2
Csém,6,8,2,0.3333333333333333,1.3333333333333333
Csénye,5,6,1,0.2,1.2
Csépa,50,62,12,0.24,1.24
Csévharaszt,78,98,20,0.2564102564102564,1.2564102564102564
Csókakõ,67,84,17,0.2537313432835821,1.2537313432835822
Csólyospálos,242,301,59,0.24380165289256198,1.243801652892562
Csór,94,118,24,0.2553191489361702,1.2553191489361701
Csót,34,42,8,0.23529411764705882,1.2352941176470589
Csõsz,36,45,9,0.25,1.25
Csõvár,35,44,9,0.2571428571428571,1.2571428571428571
Csögle,15,19,4,0.26666666666666666,1.2666666666666666
