settlement,teaor,bin,input_count,generated_count,diff,ratio,input_share_within_settlement_teaor,generated_share_within_settlement_teaor,share_diff
Budapest 02. kerület,1,1-4,79,98,19,1.240506329113924,1.0,1.0,0.0
Budapest 02. kerület,10,1-4,22,27,5,1.2272727272727273,0.6666666666666666,0.6585365853658537,-0.008130081300812941
Budapest 02. kerület,10,5-9,5,6,1,1.2,0.15151515151515152,0.14634146341463414,-0.005173688100517382
Budapest 02. kerület,10,20-49,6,8,2,1.3333333333333333,0.18181818181818182,0.1951219512195122,0.013303769401330379
Budapest 02. kerület,11,1-4,12,15,3,1.25,1.0,1.0,0.0
Budapest 02. kerület,13,1-4,13,16,3,1.2307692307692308,1.0,1.0,0.0
Budapest 02. kerület,14,1-4,23,29,6,1.2608695652173914,1.0,1.0,0.0
Budapest 02. kerület,15,1-4,5,6,1,1.2,1.0,1.0,0.0
Budapest 02. kerület,16,1-4,9,11,2,1.2222222222222223,1.0,1.0,0.0
Budapest 02. kerület,17,1-4,5,6,1,1.2,1.0,1.0,0.0
Budapest 02. kerület,18,1-4,43,54,11,1.255813953488372,1.0,1.0,0.0
Budapest 02. kerület,2,1-4,10,12,2,1.2,1.0,1.0,0.0
Budapest 02. kerület,20,1-4,9,11,2,1.2222222222222223,1.0,1.0,0.0
Budapest 02. kerület,22,1-4,7,9,2,1.2857142857142858,1.0,1.0,0.0
Budapest 02. kerület,23,1-4,12,15,3,1.25,1.0,1.0,0.0
Budapest 02. kerület,25,1-4,38,47,9,1.236842105263158,0.8636363636363636,0.8545454545454545,-0.00909090909090915
Budapest 02. kerület,25,20-49,6,8,2,1.3333333333333333,0.13636363636363635,0.14545454545454545,0.009090909090909094
Budapest 02. kerület,26,1-4,18,22,4,1.2222222222222223,1.0,1.0,0.0
Budapest 02. kerület,27,1-4,8,10,2,1.25,1.0,1.0,0.0
Budapest 02. kerület,28,1-4,13,16,3,1.2307692307692308,1.0,1.0,0.0
Budapest 02. kerület,30,1-4,5,6,1,1.2,1.0,1.0,0.0
Budapest 02. kerület,31,1-4,22,27,5,1.2272727272727273,1.0,1.0,0.0
Budapest 02. kerület,32,1-4,76,95,19,1.25,0.926829268292683,0.9223300970873787,-0.004499171205304298
Budapest 02. kerület,32,5-9,6,8,2,1.3333333333333333,0.07317073170731707,0.07766990291262135,0.004499171205304284
Budapest 02. kerület,33,1-4,31,39,8,1.2580645161290323,1.0,1.0,0.0
Budapest 02. kerület,35,1-4,13,16,3,1.2307692307692308,1.0,1.0,0.0
Budapest 02. kerület,38,1-4,5,6,1,1.2,1.0,1.0,0.0
Budapest 02. kerület,41,1-4,232,288,56,1.2413793103448276,0.8083623693379791,0.8067226890756303,-0.0016396802623488416
Budapest 02. kerület,41,5-9,34,42,8,1.2352941176470589,0.11846689895470383,0.11764705882352941,-0.0008198401311744208
Budapest 02. kerület,41,10-19,15,19,4,1.2666666666666666,0.05226480836236934,0.05322128851540616,0.0009564801530368219
Budapest 02. kerület,41,20-49,6,8,2,1.3333333333333333,0.020905923344947737,0.022408963585434174,0.001503040240486437
Budapest 02. kerület,42,1-4,24,30,6,1.25,0.7741935483870968,0.7692307692307693,-0.004962779156327479
Budapest 02. kerület,42,10-19,7,9,2,1.2857142857142858,0.22580645161290322,0.23076923076923078,0.0049627791563275625
Budapest 02. kerület,43,1-4,293,364,71,1.242320819112628,0.8746268656716418,0.875,0.0003731343283581712
Budapest 02. kerület,43,5-9,28,35,7,1.25,0.08358208955223881,0.08413461538461539,0.0005525258323765825
Budapest 02. kerület,43,10-19,14,17,3,1.2142857142857142,0.041791044776119404,0.040865384615384616,-0.0009256601607347884
Budapest 02. kerület,45,1-4,148,184,36,1.2432432432432432,0.8654970760233918,0.863849765258216,-0.001647310765175769
Budapest 02. kerület,45,5-9,15,19,4,1.2666666666666666,0.08771929824561403,0.0892018779342723,0.001482579688658267
Budapest 02. kerület,45,10-19,8,10,2,1.25,0.04678362573099415,0.046948356807511735,0.00016473107651758523
Budapest 02. kerület,46,1-4,421,523,102,1.2422802850356294,0.7810760667903525,0.7805970149253731,-0.0004790518649793185
Budapest 02. kerület,46,5-9,52,65,13,1.25,0.09647495361781076,0.09701492537313433,0.0005399717553235678
Budapest 02. kerület,46,10-19,33,41,8,1.2424242424242424,0.061224489795918366,0.06119402985074627,-3.045994517209688e-05
Budapest 02. kerület,46,20-49,25,31,6,1.24,0.04638218923933209,0.04626865671641791,-0.0001135325229141837
Budapest 02. kerület,46,50-249,8,10,2,1.25,0.014842300556586271,0.014925373134328358,8.307257774208682e-05
Budapest 02. kerület,47,1-4,613,762,149,1.2430668841761827,0.7828863346104725,0.7831449126413155,0.0002585780308429486
Budapest 02. kerület,47,5-9,106,132,26,1.2452830188679245,0.13537675606641125,0.13566289825282632,0.00028614218641506706
Budapest 02. kerület,47,10-19,49,61,12,1.2448979591836735,0.06257982120051085,0.06269270298047276,0.00011288177996190973
Budapest 02. kerület,47,20-49,10,12,2,1.2,0.01277139208173691,0.012332990750256937,-0.0004384013314799734
Budapest 02. kerület,47,50-249,5,6,1,1.2,0.006385696040868455,0.006166495375128468,-0.0002192006657399867
Budapest 02. kerület,49,1-4,120,149,29,1.2416666666666667,0.9523809523809523,0.9490445859872612,-0.0033363663936911703
Budapest 02. kerület,49,5-9,6,8,2,1.3333333333333333,0.047619047619047616,0.050955414012738856,0.0033363663936912397
Budapest 02. kerület,52,1-4,39,49,10,1.2564102564102564,0.8478260869565217,0.8448275862068966,-0.0029985007496251548
Budapest 02. kerület,52,5-9,7,9,2,1.2857142857142858,0.15217391304347827,0.15517241379310345,0.0029985007496251825
Budapest 02. kerület,53,1-4,141,175,34,1.2411347517730495,1.0,1.0,0.0
Budapest 02. kerület,55,1-4,73,91,18,1.2465753424657535,0.7373737373737373,0.7338709677419355,-0.0035027696318018497
Budapest 02. kerület,55,5-9,9,11,2,1.2222222222222223,0.09090909090909091,0.08870967741935484,-0.0021994134897360684
Budapest 02. kerület,55,20-49,11,14,3,1.2727272727272727,0.1111111111111111,0.11290322580645161,0.0017921146953405048
Budapest 02. kerület,55,50-249,6,8,2,1.3333333333333333,0.06060606060606061,0.06451612903225806,0.003910068426197455
Budapest 02. kerület,56,1-4,193,240,47,1.2435233160621761,0.5884146341463414,0.5882352941176471,-0.0001793400286943525
Budapest 02. kerület,56,5-9,65,81,16,1.2461538461538462,0.19817073170731708,0.19852941176470587,0.0003586800573887883
Budapest 02. kerület,56,10-19,46,57,11,1.2391304347826086,0.1402439024390244,0.13970588235294118,-0.000538020086083224
Budapest 02. kerület,56,20-49,24,30,6,1.25,0.07317073170731707,0.07352941176470588,0.00035868005738881603
Budapest 02. kerület,58,1-4,94,117,23,1.2446808510638299,0.8952380952380953,0.8931297709923665,-0.002108324245728821
Budapest 02. kerület,58,5-9,11,14,3,1.2727272727272727,0.10476190476190476,0.10687022900763359,0.002108324245728821
Budapest 02. kerület,59,1-4,486,604,118,1.242798353909465,0.9700598802395209,0.9710610932475884,0.0010012130080674364
Budapest 02. kerület,59,5-9,10,12,2,1.2,0.01996007984031936,0.01929260450160772,-0.0006674753387116428
Budapest 02. kerület,59,10-19,5,6,1,1.2,0.00998003992015968,0.00964630225080386,-0.0003337376693558214
Budapest 02. kerület,60,1-4,17,21,4,1.2352941176470589,1.0,1.0,0.0
Budapest 02. kerület,62,1-4,667,829,162,1.2428785607196402,0.8881491344873502,0.8875802997858673,-0.0005688347014829453
Budapest 02. kerület,62,5-9,36,45,9,1.25,0.047936085219707054,0.048179871520342615,0.0002437863006355609
Budapest 02. kerület,62,10-19,20,25,5,1.25,0.02663115845539281,0.02676659528907923,0.00013543683368642118
Budapest 02. kerület,62,20-49,17,21,4,1.2352941176470589,0.022636484687083888,0.022483940042826552,-0.00015254464425733597
Budapest 02. kerület,62,50-249,11,14,3,1.2727272727272727,0.014647137150466045,0.014989293361884369,0.00034215621141832353
Budapest 02. kerület,63,1-4,161,200,39,1.2422360248447204,0.9698795180722891,0.970873786407767,0.000994268335477888
Budapest 02. kerület,63,5-9,5,6,1,1.2,0.030120481927710843,0.02912621359223301,-0.0009942683354778326
Budapest 02. kerület,64,1-4,18,22,4,1.2222222222222223,0.42857142857142855,0.4230769230769231,-0.005494505494505475
Budapest 02. kerület,64,5-9,15,19,4,1.2666666666666666,0.35714285714285715,0.36538461538461536,0.008241758241758212
Budapest 02. kerület,64,10-19,9,11,2,1.2222222222222223,0.21428571428571427,0.21153846153846154,-0.0027472527472527375
Budapest 02. kerület,66,1-4,228,283,55,1.2412280701754386,0.9156626506024096,0.9129032258064517,-0.002759424795957921
Budapest 02. kerület,66,5-9,9,11,2,1.2222222222222223,0.03614457831325301,0.035483870967741936,-0.0006607073455110746
Budapest 02. kerület,66,10-19,6,8,2,1.3333333333333333,0.024096385542168676,0.025806451612903226,0.0017100660707345498
Budapest 02. kerület,66,20-49,6,8,2,1.3333333333333333,0.024096385542168676,0.025806451612903226,0.0017100660707345498
Budapest 02. kerület,68,1-4,1068,1328,260,1.243445692883895,0.928695652173913,0.9293212036389084,0.000625551464995322
Budapest 02. kerület,68,5-9,46,57,11,1.2391304347826086,0.04,0.03988803358992302,-0.00011196641007697739
Budapest 02. kerület,68,10-19,26,32,6,1.2307692307692308,0.022608695652173914,0.02239328201539538,-0.00021541363677853378
Budapest 02. kerület,68,20-49,10,12,2,1.2,0.008695652173913044,0.008397480755773267,-0.00029817141813977613
Budapest 02. kerület,69,1-4,1056,1313,257,1.2433712121212122,0.9411764705882353,0.9405444126074498,-0.000632057980785472
Budapest 02. kerület,69,5-9,44,55,11,1.25,0.0392156862745098,0.03939828080229226,0.00018259452778245783
Budapest 02. kerület,69,10-19,16,20,4,1.25,0.0142602495543672,0.014326647564469915,6.63980101027143e-05
Budapest 02. kerület,69,20-49,6,8,2,1.3333333333333333,0.0053475935828877,0.0057306590257879654,0.0003830654429002652
Budapest 02. kerület,70,1-4,1628,2024,396,1.2432432432432432,0.9509345794392523,0.9506810709253171,-0.0002535085139352411
Budapest 02. kerület,70,5-9,40,50,10,1.25,0.02336448598130841,0.023485204321277594,0.00012071833996918357
Budapest 02. kerület,70,10-19,26,32,6,1.2307692307692308,0.015186915887850467,0.015030530765617662,-0.00015638512223280568
Budapest 02. kerület,70,20-49,11,14,3,1.2727272727272727,0.006425233644859813,0.006575857209957727,0.00015062356509791368
Budapest 02. kerület,70,50-249,7,9,2,1.2857142857142858,0.0040887850467289715,0.004227336777829967,0.0001385517311009955
Budapest 02. kerület,71,1-4,695,864,169,1.2431654676258992,0.9108781127129751,0.9104320337197049,-0.0004460789932702047
Budapest 02. kerület,71,5-9,40,50,10,1.25,0.05242463958060288,0.05268703898840885,0.000262399407805973
Budapest 02. kerület,71,10-19,19,24,5,1.263157894736842,0.02490170380078637,0.02528977871443625,0.0003880749136498801
Budapest 02. kerület,71,20-49,9,11,2,1.2222222222222223,0.011795543905635648,0.011591148577449948,-0.00020439532818570041
Budapest 02. kerület,72,1-4,163,203,40,1.2453987730061349,0.9644970414201184,0.9620853080568721,-0.0024117333632462934
Budapest 02. kerület,72,5-9,6,8,2,1.3333333333333333,0.03550295857988166,0.037914691943127965,0.0024117333632463073
Budapest 02. kerület,73,1-4,227,282,55,1.2422907488986785,0.8315018315018315,0.8294117647058824,-0.0020900667959491415
Budapest 02. kerület,73,5-9,24,30,6,1.25,0.08791208791208792,0.08823529411764706,0.0003232062055591456
Budapest 02. kerület,73,10-19,8,10,2,1.25,0.029304029304029304,0.029411764705882353,0.00010773540185304853
Budapest 02. kerület,73,20-49,8,10,2,1.25,0.029304029304029304,0.029411764705882353,0.00010773540185304853
Budapest 02. kerület,73,50-249,6,8,2,1.3333333333333333,0.02197802197802198,0.023529411764705882,0.0015513897866839023
Budapest 02. kerület,74,1-4,802,997,195,1.243142144638404,0.9733009708737864,0.9726829268292683,-0.0006180440445181512
Budapest 02. kerület,74,5-9,16,20,4,1.25,0.019417475728155338,0.01951219512195122,9.471939379588137e-05
Budapest 02. kerület,74,10-19,6,8,2,1.3333333333333333,0.007281553398058253,0.007804878048780488,0.0005233246507222351
Budapest 02. kerület,75,1-4,13,16,3,1.2307692307692308,1.0,1.0,0.0
Budapest 02. kerület,77,1-4,56,70,14,1.25,1.0,1.0,0.0
Budapest 02. kerület,78,1-4,26,32,6,1.2307692307692308,1.0,1.0,0.0
Budapest 02. kerület,79,1-4,94,117,23,1.2446808510638299,1.0,1.0,0.0
Budapest 02. kerület,80,1-4,31,39,8,1.2580645161290323,0.8611111111111112,0.8666666666666667,0.005555555555555536
Budapest 02. kerület,80,5-9,5,6,1,1.2,0.1388888888888889,0.13333333333333333,-0.005555555555555564
Budapest 02. kerület,81,1-4,188,234,46,1.2446808510638299,0.8785046728971962,0.8764044943820225,-0.002100178515173745
Budapest 02. kerület,81,5-9,13,16,3,1.2307692307692308,0.06074766355140187,0.0599250936329588,-0.0008225699184430668
Budapest 02. kerület,81,10-19,6,8,2,1.3333333333333333,0.028037383177570093,0.0299625468164794,0.001925163638909308
Budapest 02. kerület,81,20-49,7,9,2,1.2857142857142858,0.03271028037383177,0.033707865168539325,0.0009975847947075525
Budapest 02. kerület,82,1-4,433,538,105,1.2424942263279446,0.9252136752136753,0.9243986254295533,-0.0008150497841219462
Budapest 02. kerület,82,5-9,18,22,4,1.2222222222222223,0.038461538461538464,0.037800687285223365,-0.0006608511763150984
Budapest 02. kerület,82,10-19,11,14,3,1.2727272727272727,0.023504273504273504,0.024054982817869417,0.000550709313595913
Budapest 02. kerület,82,20-49,6,8,2,1.3333333333333333,0.01282051282051282,0.013745704467353952,0.0009251916468411316
Budapest 02. kerület,84,1-4,5,6,1,1.2,0.4166666666666667,0.4,-0.016666666666666663
Budapest 02. kerület,84,250-1000,7,9,2,1.2857142857142858,0.5833333333333334,0.6,0.016666666666666607
Budapest 02. kerület,85,1-4,790,982,192,1.2430379746835443,0.9228971962616822,0.9229323308270677,3.513456538550841e-05
Budapest 02. kerület,85,5-9,25,31,6,1.24,0.029205607476635514,0.02913533834586466,-7.026913077085375e-05
Budapest 02. kerület,85,10-19,15,19,4,1.2666666666666666,0.017523364485981307,0.017857142857142856,0.00033377837116154926
Budapest 02. kerület,85,20-49,21,26,5,1.2380952380952381,0.02453271028037383,0.02443609022556391,-9.662005480992261e-05
Budapest 02. kerület,85,50-249,5,6,1,1.2,0.005841121495327103,0.005639097744360902,-0.00020202375096620064
Budapest 02. kerület,86,1-4,1071,1332,261,1.2436974789915967,0.9394736842105263,0.9393511988716502,-0.00012248533887615487
Budapest 02. kerület,86,5-9,41,51,10,1.2439024390243902,0.035964912280701755,0.03596614950634697,1.2372256452120034e-06
Budapest 02. kerület,86,10-19,19,24,5,1.263157894736842,0.016666666666666666,0.01692524682651622,0.00025858015984955504
Budapest 02. kerület,86,20-49,9,11,2,1.2222222222222223,0.007894736842105263,0.007757404795486601,-0.00013733204661866248
Budapest 02. kerület,87,50-249,5,6,1,1.2,1.0,1.0,0.0
Budapest 02. kerület,88,1-4,32,40,8,1.25,0.8648648648648649,0.8695652173913043,0.004700352526439411
Budapest 02. kerület,88,20-49,5,6,1,1.2,0.13513513513513514,0.13043478260869565,-0.004700352526439494
Budapest 02. kerület,90,1-4,721,896,175,1.2427184466019416,0.9917469050894085,0.9911504424778761,-0.0005964626115324556
Budapest 02. kerület,90,5-9,6,8,2,1.3333333333333333,0.008253094910591471,0.008849557522123894,0.0005964626115324227
Budapest 02. kerület,91,1-4,9,11,2,1.2222222222222223,1.0,1.0,0.0
Budapest 02. kerület,93,1-4,144,179,35,1.2430555555555556,0.8780487804878049,0.8774509803921569,-0.0005978000956480267
Budapest 02. kerület,93,5-9,9,11,2,1.2222222222222223,0.054878048780487805,0.05392156862745098,-0.0009564801530368219
Budapest 02. kerület,93,10-19,6,8,2,1.3333333333333333,0.036585365853658534,0.0392156862745098,0.002630320420851269
Budapest 02. kerület,93,20-49,5,6,1,1.2,0.03048780487804878,0.029411764705882353,-0.0010760401721664273
Budapest 02. kerület,94,1-4,61,76,15,1.2459016393442623,0.7721518987341772,0.7755102040816326,0.0033583053474554037
Budapest 02. kerület,94,5-9,9,11,2,1.2222222222222223,0.11392405063291139,0.11224489795918367,-0.0016791526737277157
Budapest 02. kerület,94,10-19,9,11,2,1.2222222222222223,0.11392405063291139,0.11224489795918367,-0.0016791526737277157
Budapest 02. kerület,95,1-4,71,88,17,1.2394366197183098,1.0,1.0,0.0
Budapest 02. kerület,96,1-4,529,658,129,1.2438563327032137,0.9706422018348624,0.9705014749262537,-0.0001407269086086682
Budapest 02. kerület,96,5-9,11,14,3,1.2727272727272727,0.02018348623853211,0.02064896755162242,0.0004654813130903074
Budapest 02. kerület,96,10-19,5,6,1,1.2,0.009174311926605505,0.008849557522123894,-0.0003247544044816114
Budapest 03. kerület,1,1-4,59,73,14,1.2372881355932204,1.0,1.0,0.0
Budapest 03. kerület,10,1-4,40,50,10,1.25,0.5555555555555556,0.5555555555555556,0.0
Budapest 03. kerület,10,5-9,14,17,3,1.2142857142857142,0.19444444444444445,0.18888888888888888,-0.005555555555555564
Budapest 03. kerület,10,10-19,5,6,1,1.2,0.06944444444444445,0.06666666666666667,-0.002777777777777782
Budapest 03. kerület,10,20-49,6,8,2,1.3333333333333333,0.08333333333333333,0.08888888888888889,0.005555555555555564
Budapest 03. kerület,10,50-249,7,9,2,1.2857142857142858,0.09722222222222222,0.1,0.002777777777777782
Budapest 03. kerület,11,1-4,5,6,1,1.2,1.0,1.0,0.0
Budapest 03. kerület,13,1-4,16,20,4,1.25,1.0,1.0,0.0
Budapest 03. kerület,14,1-4,44,55,11,1.25,1.0,1.0,0.0
Budapest 03. kerület,15,1-4,7,9,2,1.2857142857142858,1.0,1.0,0.0
Budapest 03. kerület,16,1-4,19,24,5,1.263157894736842,1.0,1.0,0.0
Budapest 03. kerület,17,1-4,8,10,2,1.25,1.0,1.0,0.0
Budapest 03. kerület,18,1-4,80,99,19,1.2375,0.8,0.792,-0.008000000000000007
Budapest 03. kerület,18,5-9,8,10,2,1.25,0.08,0.08,0.0
Budapest 03. kerület,18,10-19,6,8,2,1.3333333333333333,0.06,0.064,0.0040000000000000036
Budapest 03. kerület,18,20-49,6,8,2,1.3333333333333333,0.06,0.064,0.0040000000000000036
Budapest 03. kerület,2,1-4,12,15,3,1.25,1.0,1.0,0.0
Budapest 03. kerület,20,1-4,13,16,3,1.2307692307692308,1.0,1.0,0.0
Budapest 03. kerület,22,1-4,11,14,3,1.2727272727272727,1.0,1.0,0.0
Budapest 03. kerület,23,1-4,16,20,4,1.25,1.0,1.0,0.0
Budapest 03. kerület,25,1-4,59,73,14,1.2372881355932204,0.7375,0.7373737373737373,-0.00012626262626269646
Budapest 03. kerület,25,5-9,12,15,3,1.25,0.15,0.15151515151515152,0.001515151515151525
Budapest 03. kerület,25,20-49,9,11,2,1.2222222222222223,0.1125,0.1111111111111111,-0.0013888888888888978
Budapest 03. kerület,26,1-4,30,37,7,1.2333333333333334,0.8571428571428571,0.8604651162790697,0.0033222591362126463
Budapest 03. kerület,26,5-9,5,6,1,1.2,0.14285714285714285,0.13953488372093023,-0.0033222591362126186
Budapest 03. kerület,27,1-4,8,10,2,1.25,1.0,1.0,0.0
Budapest 03. kerület,28,1-4,28,35,7,1.25,0.8235294117647058,0.813953488372093,-0.009575923392612817
Budapest 03. kerület,28,5-9,6,8,2,1.3333333333333333,0.17647058823529413,0.18604651162790697,0.009575923392612845
Budapest 03. kerület,31,1-4,31,39,8,1.2580645161290323,1.0,1.0,0.0
Budapest 03. kerület,32,1-4,85,106,21,1.2470588235294118,1.0,1.0,0.0
Budapest 03. kerület,33,1-4,62,77,15,1.2419354838709677,0.8051948051948052,0.8020833333333334,-0.0031114718614718706
Budapest 03. kerület,33,5-9,9,11,2,1.2222222222222223,0.11688311688311688,0.11458333333333333,-0.0022997835497835517
Budapest 03. kerület,33,10-19,6,8,2,1.3333333333333333,0.07792207792207792,0.08333333333333333,0.005411255411255408
Budapest 03. kerület,35,1-4,17,21,4,1.2352941176470589,1.0,1.0,0.0
Budapest 03. kerület,41,1-4,227,282,55,1.2422907488986785,0.6816816816816816,0.6811594202898551,-0.0005222613918265395
Budapest 03. kerület,41,5-9,45,56,11,1.2444444444444445,0.13513513513513514,0.13526570048309178,0.00013056534795663488
Budapest 03. kerület,41,10-19,34,42,8,1.2352941176470589,0.1021021021021021,0.10144927536231885,-0.0006528267397832577
Budapest 03. kerület,41,20-49,20,25,5,1.25,0.06006006006006006,0.06038647342995169,0.00032641336989162884
Budapest 03. kerület,41,50-249,7,9,2,1.2857142857142858,0.021021021021021023,0.021739130434782608,0.0007181094137615855
Budapest 03. kerület,42,1-4,53,66,13,1.2452830188679245,0.6883116883116883,0.6875,-0.0008116883116883189
Budapest 03. kerület,42,5-9,11,14,3,1.2727272727272727,0.14285714285714285,0.14583333333333334,0.0029761904761904934
Budapest 03. kerület,42,10-19,8,10,2,1.25,0.1038961038961039,0.10416666666666667,0.00027056277056276834
Budapest 03. kerület,42,20-49,5,6,1,1.2,0.06493506493506493,0.0625,-0.002435064935064929
Budapest 03. kerület,43,1-4,737,916,179,1.242876526458616,0.8836930455635491,0.8841698841698842,0.0004768386063350727
