bucket,count,ratio
1,6653,0.42152949
2,2954,0.18716340
3,3152,0.19970855
4,1600,0.10137490
5,394,0.02496357
6,126,0.00798327
7,93,0.00589242
8,81,0.00513210
9,78,0.00494203
10,152,0.00963062
11,47,0.00297789
12,43,0.00272445
13,34,0.00215422
14,30,0.00190078
15,24,0.00152062
16,15,0.00095039
17,12,0.00076031
18,9,0.00057023
19,18,0.00114047
20,33,0.00209086
21,23,0.00145726
22,23,0.00145726
23,21,0.00133055
24,20,0.00126719
25,17,0.00107711
26,12,0.00076031
27,10,0.00063359
28,9,0.00057023
29,7,0.00044352
30,5,0.00031680
31,4,0.00025344
32,4,0.00025344
33,4,0.00025344
34,4,0.00025344
35,3,0.00019008
36,3,0.00019008
37,3,0.00019008
38,2,0.00012672
39,1,0.00006336
50-54,29,0.00183742
55-59,9,0.00057023
60-64,2,0.00012672
65-69,4,0.00025344
70-74,6,0.00038016
75-79,3,0.00019008
675-699,5,0.00031680
700-724,2,0.00012672
