bucket,count,ratio
1,12826,0.50910967
2,3784,0.15020045
3,2811,0.11157861
4,2606,0.10344143
5,713,0.02830151
6,276,0.01095542
7,204,0.00809749
8,165,0.00654944
9,173,0.00686699
10,244,0.00968523
11,119,0.00472353
12,97,0.00385028
13,81,0.00321518
14,62,0.00246100
15,47,0.00186560
16,38,0.00150836
17,32,0.00127019
18,27,0.00107173
19,47,0.00186560
20,134,0.00531894
21,65,0.00258008
22,49,0.00194498
23,39,0.00154805
24,34,0.00134958
25,30,0.00119081
26,25,0.00099234
27,20,0.00079387
28,15,0.00059540
29,12,0.00047632
30,11,0.00043663
31,11,0.00043663
32,9,0.00035724
33,7,0.00027785
34,6,0.00023816
35,4,0.00015877
36,4,0.00015877
37,4,0.00015877
38,4,0.00015877
39,3,0.00011908
40,3,0.00011908
41,3,0.00011908
42,2,0.00007939
43,2,0.00007939
44,2,0.00007939
45,2,0.00007939
46,1,0.00003969
49,27,0.00107173
50-54,127,0.00504108
55-59,11,0.00043663
70-74,4,0.00015877
75-79,2,0.00007939
85-89,8,0.00031755
90-94,14,0.00055571
95-99,12,0.00047632
100-104,9,0.00035724
105-109,5,0.00019847
110-114,3,0.00011908
130-134,3,0.00011908
135-139,5,0.00019847
140-144,6,0.00023816
145-149,7,0.00027785
150-154,4,0.00015877
155-159,2,0.00007939
180-184,1,0.00003969
220-224,2,0.00007939
245-249,22,0.00087326
250-274,20,0.00079387
325-349,1,0.00003969
375-399,1,0.00003969
425-449,3,0.00011908
450-474,2,0.00007939
500-524,4,0.00015877
525-549,1,0.00003969
625-649,1,0.00003969
650-674,1,0.00003969
675-699,5,0.00019847
700-724,2,0.00007939
725-749,1,0.00003969
925-949,1,0.00003969
1000-1000,23,0.00091295
