bucket,count,ratio
1,8261,0.56132364
2,2246,0.15261262
3,1612,0.10953319
4,1375,0.09342937
5,327,0.02221920
6,118,0.00801794
7,90,0.00611538
8,77,0.00523204
9,80,0.00543589
10,86,0.00584358
11,38,0.00258205
12,35,0.00237820
13,32,0.00217436
14,29,0.00197051
15,22,0.00149487
16,15,0.00101923
17,12,0.00081538
18,8,0.00054359
19,8,0.00054359
20,36,0.00244615
21,18,0.00122308
22,17,0.00115513
23,16,0.00108718
24,16,0.00108718
25,14,0.00095128
26,9,0.00061154
27,9,0.00061154
28,7,0.00047564
29,7,0.00047564
30,6,0.00040769
31,4,0.00027179
32,2,0.00013590
33,2,0.00013590
34,2,0.00013590
35,2,0.00013590
36,1,0.00006795
37,1,0.00006795
38,1,0.00006795
39,1,0.00006795
40,1,0.00006795
41,1,0.00006795
50-54,15,0.00101923
55-59,2,0.00013590
60-64,1,0.00006795
65-69,4,0.00027179
70-74,3,0.00020385
75-79,4,0.00027179
80-84,2,0.00013590
95-99,2,0.00013590
100-104,4,0.00027179
105-109,2,0.00013590
115-119,2,0.00013590
120-124,4,0.00027179
125-129,1,0.00006795
130-134,5,0.00033974
135-139,5,0.00033974
140-144,3,0.00020385
675-699,5,0.00033974
700-724,2,0.00013590
1000-1000,7,0.00047564
