bucket,count,ratio
1,8174,0.60218064
2,1808,0.13319582
3,1328,0.09783409
4,1240,0.09135111
5,260,0.01915427
6,110,0.00810373
7,86,0.00633564
8,66,0.00486224
9,52,0.00383085
10,73,0.00537793
11,36,0.00265213
12,32,0.00235745
13,29,0.00213644
14,25,0.00184176
15,18,0.00132606
16,13,0.00095771
17,10,0.00073670
18,7,0.00051569
19,7,0.00051569
20,29,0.00213644
21,17,0.00125239
22,17,0.00125239
23,17,0.00125239
24,16,0.00117872
25,13,0.00095771
26,8,0.00058936
27,8,0.00058936
28,7,0.00051569
29,6,0.00044202
30,5,0.00036835
31,3,0.00022101
32,2,0.00014734
33,2,0.00014734
34,1,0.00007367
35,1,0.00007367
36,1,0.00007367
37,1,0.00007367
50-54,20,0.00147341
55-59,1,0.00007367
65-69,1,0.00007367
70-74,4,0.00029468
130-134,5,0.00036835
135-139,5,0.00036835
140-144,3,0.00022101
675-699,5,0.00036835
700-724,2,0.00014734
