bucket,count,ratio
1,8648,0.57892623
2,2211,0.14801178
3,1610,0.10777882
4,1444,0.09666622
5,295,0.01974829
6,110,0.00736377
7,87,0.00582407
8,72,0.00481992
9,58,0.00388272
10,84,0.00562324
11,35,0.00234302
12,33,0.00220913
13,30,0.00200830
14,27,0.00180747
15,19,0.00127192
16,17,0.00113804
17,13,0.00087026
18,7,0.00046860
19,6,0.00040166
20,23,0.00153970
21,11,0.00073638
22,10,0.00066943
23,10,0.00066943
24,10,0.00066943
25,8,0.00053555
26,6,0.00040166
27,5,0.00033472
28,5,0.00033472
29,3,0.00020083
30,3,0.00020083
31,2,0.00013389
32,2,0.00013389
33,1,0.00006694
34,1,0.00006694
55-59,2,0.00013389
60-64,5,0.00033472
65-69,1,0.00006694
70-74,4,0.00026777
130-134,5,0.00033472
135-139,5,0.00033472
140-144,3,0.00020083
675-699,5,0.00033472
700-724,2,0.00013389
