bucket,count,ratio
1,10815,0.53552860
2,2769,0.13711315
3,2067,0.10235207
4,1994,0.09873731
5,558,0.02763060
6,239,0.01183461
7,181,0.00896261
8,142,0.00703144
9,129,0.00638772
10,245,0.01213172
11,101,0.00500124
12,84,0.00415945
13,68,0.00336717
14,55,0.00272345
15,43,0.00212924
16,33,0.00163407
17,27,0.00133696
18,20,0.00099034
19,33,0.00163407
20,111,0.00549641
21,49,0.00242634
22,35,0.00173310
23,29,0.00143600
24,27,0.00133696
25,20,0.00099034
26,13,0.00064372
27,10,0.00049517
28,9,0.00044565
29,9,0.00044565
30,9,0.00044565
31,9,0.00044565
32,7,0.00034662
33,5,0.00024759
34,4,0.00019807
35,3,0.00014855
36,2,0.00009903
37,2,0.00009903
38,2,0.00009903
39,1,0.00004952
49,14,0.00069324
50-54,106,0.00524882
65-69,4,0.00019807
70-74,6,0.00029710
75-79,4,0.00019807
85-89,6,0.00029710
90-94,8,0.00039614
110-114,1,0.00004952
135-139,3,0.00014855
140-144,5,0.00024759
145-149,3,0.00014855
245-249,10,0.00049517
250-274,39,0.00193117
275-299,1,0.00004952
450-474,2,0.00009903
500-524,4,0.00019807
700-724,8,0.00039614
1000-1000,12,0.00059421
