bucket,count,ratio
1,23949,0.72621141
2,3895,0.11810904
3,1941,0.05885742
4,896,0.02716963
5,1044,0.03165747
6,218,0.00661047
7,133,0.00403299
8,45,0.00136455
9,10,0.00030323
10,314,0.00952150
11,87,0.00263812
12,61,0.00184972
13,48,0.00145552
14,38,0.00115228
15,14,0.00042453
20,100,0.00303232
21,23,0.00069743
22,13,0.00039420
23,12,0.00036388
24,12,0.00036388
25,10,0.00030323
26,8,0.00024259
27,6,0.00018194
28,5,0.00015162
29,4,0.00012129
30,2,0.00006065
31,1,0.00003032
32,1,0.00003032
49,10,0.00030323
50-54,58,0.00175875
135-139,1,0.00003032
245-249,7,0.00021226
250-274,10,0.00030323
500-524,1,0.00003032
1000-1000,1,0.00003032
