teaor,count,mean_size
43,96908,2.285405
47,85147,3.102141
1,78223,2.031538
96,65013,1.825989
85,41977,2.864640
69,41053,2.282513
86,38040,2.180967
70,37483,2.520289
68,34201,2.260402
74,32428,1.836068
62,31014,3.371316
46,26047,5.143625
45,24613,2.820136
56,23519,4.143076
49,22645,2.825436
66,22570,1.901019
82,20870,2.322664
81,19639,2.498141
90,19271,1.866172
41,18360,3.482843
25,17628,15.470445
33,13157,22.112032
32,11877,22.577924
53,11161,1.768300
71,10026,3.257530
93,9025,2.229030
59,8322,1.854001
73,8300,2.325663
95,6797,1.809622
63,5891,1.903751
31,5501,16.088348
55,3997,3.319740
77,3900,2.029487
42,3360,4.324107
52,3327,3.446949
80,3155,4.302377
16,3151,10.598858
94,3003,3.691309
23,2981,12.996645
72,2943,3.101597
28,2651,15.467371
18,2550,5.534510
10,2485,5.487726
2,2331,1.794080
58,2240,2.657143
22,2021,15.166254
79,1973,1.964014
14,1801,2.043309
26,1340,10.926866
88,1230,3.929268
75,942,1.863057
11,890,2.192135
27,773,11.992238
13,757,2.084544
78,637,17.992151
35,516,1.881783
29,430,13.341860
64,360,16.908333
61,342,2.748538
60,330,2.087879
20,286,5.510490
17,214,8.663551
92,191,2.073298
38,190,2.484211
91,160,2.112500
15,154,2.038961
84,132,159.560606
30,107,22.635514
24,91,8.384615
37,90,2.022222
97,69,2.115942
87,40,34.750000
65,26,25.576923
51,19,2.157895
50,18,3.500000
3,6,2.000000
8,6,2.000000
