teaor_kulcs,teaor_foag,foag_megnevezes,teaor_alag,teaor_megnevezes,company_count_total,company_count_1_4,company_count_5_9,company_count_10_19,company_count_20_49,company_count_50_249,company_count_250_plus,ksh_worker_total,target_avg_size_ksh,census_worker_total_main,ksh_worker_total_main,census_ksh_ratio_main,census_pct_main,ksh_pct_main,adjusted_worker_target_from_census_ratio,target_avg_size_adjusted
A_1,A,"Mezőgazdaság, erdőgazdálkodás, halászat",1,"Növénytermesztés, állattenyésztés, vadgazdálkodás és kapcsolódó szolgáltatások",63076,62160,685,157,58,16,0,84799,1.34439406430338,174860.0,96512.0,0.551938693812193,0.0370571306260676,0.0247788474005343,153638.44019396542,2.4357670142996612
A_2,A,"Mezőgazdaság, erdőgazdálkodás, halászat",2,Erdőgazdálkodás,1881,1869,12,0,0,0,0,10561,5.614566719829877,174860.0,96512.0,0.551938693812193,0.0370571306260676,0.0247788474005343,19134.371477122004,10.172446292994154
A_3,A,"Mezőgazdaság, erdőgazdálkodás, halászat",3,"Halászat, halgazdálkodás",5,5,0,0,0,0,0,1152,230.4,174860.0,96512.0,0.551938693812193,0.0370571306260676,0.0247788474005343,2087.1883289124657,417.4376657824931
B_5,B,"Bányászat, kőfejtés",5,Szénbányászat,0,0,0,0,0,0,0,58,,6758.0,4338.0,0.641905889316366,0.00143218625626767,0.00111375414480601,90.35592438911937,
B_6,B,"Bányászat, kőfejtés",6,"Kőolaj-, földgázkitermelés",0,0,0,0,0,0,0,3,,6758.0,4338.0,0.641905889316366,0.00143218625626767,0.00111375414480601,4.6735822959889335,
B_7,B,"Bányászat, kőfejtés",7,Fémtartalmú érc bányászata,0,0,0,0,0,0,0,0,,6758.0,4338.0,0.641905889316366,0.00143218625626767,0.00111375414480601,0.0,
B_8,B,"Bányászat, kőfejtés",8,Egyéb bányászat,5,5,0,0,0,0,0,2955,591.0,6758.0,4338.0,0.641905889316366,0.00143218625626767,0.00111375414480601,4603.478561549099,920.6957123098198
B_9,B,"Bányászat, kőfejtés",9,Bányászati szolgáltatás,0,0,0,0,0,0,0,1322,,6758.0,4338.0,0.641905889316366,0.00143218625626767,0.00111375414480601,2059.49193176579,
C_10,C,Feldolgozóipar,10,Élelmiszergyártás,1994,1520,272,98,65,34,5,91196,45.73520561685055,887486.0,757223.0,0.853222473368594,0.188080090534177,0.19441223024261,106884.19825599591,53.602907851552615
C_11,C,Feldolgozóipar,11,Italgyártás,720,681,27,12,0,0,0,13003,18.059722222222224,887486.0,757223.0,0.853222473368594,0.188080090534177,0.19441223024261,15239.870497858623,21.16648680258142
C_12,C,Feldolgozóipar,12,Dohánytermék gyártása,0,0,0,0,0,0,0,1366,,887486.0,757223.0,0.853222473368594,0.188080090534177,0.19441223024261,1600.989240950156,
C_13,C,Feldolgozóipar,13,Textília gyártása,639,639,0,0,0,0,0,8273,12.94679186228482,887486.0,757223.0,0.853222473368594,0.188080090534177,0.19441223024261,9696.181544934583,15.17399302806664
C_14,C,Feldolgozóipar,14,Ruházati termék gyártása,1643,1600,28,15,0,0,0,18547,11.288496652465003,887486.0,757223.0,0.853222473368594,0.188080090534177,0.19441223024261,21737.589642681218,13.230425832429226
C_15,C,Feldolgozóipar,15,"Bőr, bőrtermék, lábbeli gyártása",136,136,0,0,0,0,0,8440,62.05882352941177,887486.0,757223.0,0.853222473368594,0.188080090534177,0.19441223024261,9891.910097817947,72.73463307219079
C_16,C,Feldolgozóipar,16,"Fafeldolgozás (kivéve: bútor), fonottáru gyártása",1161,1134,27,0,0,0,0,16749,14.426356589147288,887486.0,757223.0,0.853222473368594,0.188080090534177,0.19441223024261,19630.284624212418,16.908083224989163
C_17,C,Feldolgozóipar,17,"Papír, papírtermék gyártása",74,74,0,0,0,0,0,18663,252.2027027027027,887486.0,757223.0,0.853222473368594,0.188080090534177,0.19441223024261,21873.544805163074,295.5884433130145
C_18,C,Feldolgozóipar,18,Nyomdai és egyéb sokszorosítási tevékenység,1671,1574,66,25,6,0,0,16823,10.067624177139438,887486.0,757223.0,0.853222473368594,0.188080090534177,0.19441223024261,19717.01464165774,11.799530006976505
C_19,C,Feldolgozóipar,19,"Kokszgyártás, kőolaj-feldolgozás",0,0,0,0,0,0,0,5511,,887486.0,757223.0,0.853222473368594,0.188080090534177,0.19441223024261,6459.042245151032,
