settlement_original,settlement,settlement_ascii_tensor,county,population,settlement_ascii_hier,population_share_country,county_population_total,population_share_in_county,settlement_ascii
Budapest 01. kerület,budapest 01 kerulet,budapest 01 kerulet,fováros,24203.0,budapest 01 kerulet,0.0021473981241342155,1686222.0,0.014353388818316925,
Budapest 02. kerület,budapest 02 kerulet,budapest 02 kerulet,fováros,85803.0,budapest 02 kerulet,0.007612824907866302,1686222.0,0.05088475894633091,
Budapest 03. kerület,budapest 03 kerulet,budapest 03 kerulet,fováros,125147.0,budapest 03 kerulet,0.011103600092592847,1686222.0,0.07421739249043127,
Budapest 04. kerület,budapest 04 kerulet,budapest 04 kerulet,fováros,94824.0,budapest 04 kerulet,0.008413208268516418,1686222.0,0.056234588328227246,
Budapest 05. kerület,budapest 05 kerulet,budapest 05 kerulet,fováros,23701.0,budapest 05 kerulet,0.00210285844482523,1686222.0,0.014055681873442524,
Budapest 06. kerület,budapest 06 kerulet,budapest 06 kerulet,fováros,35047.0,budapest 06 kerulet,0.0031095261767769226,1686222.0,0.020784333260982245,
Budapest 07. kerület,budapest 07 kerulet,budapest 07 kerulet,fováros,49388.0,budapest 07 kerulet,0.004381923668749355,1686222.0,0.029289144608479784,
Budapest 08. kerület,budapest 08 kerulet,budapest 08 kerulet,fováros,70309.0,budapest 08 kerulet,0.006238128112620442,1686222.0,0.04169617049237882,
Budapest 09. kerület,budapest 09 kerulet,budapest 09 kerulet,fováros,59722.0,budapest 09 kerulet,0.005298802246396878,1686222.0,0.035417637772487846,
Budapest 10. kerület,budapest 10 kerulet,budapest 10 kerulet,fováros,74365.0,budapest 10 kerulet,0.006597994525523321,1686222.0,0.04410154772028831,
Budapest 11. kerület,budapest 11 kerulet,budapest 11 kerulet,fováros,149126.0,budapest 11 kerulet,0.013231123937513491,1686222.0,0.08843793996282814,
Budapest 12. kerület,budapest 12 kerulet,budapest 12 kerulet,fováros,55650.0,budapest 12 kerulet,0.004937516242121601,1686222.0,0.033002771877012636,
Budapest 13. kerület,budapest 13 kerulet,budapest 13 kerulet,fováros,120573.0,budapest 13 kerulet,0.010697774409008584,1686222.0,0.07150481965008167,
Budapest 14. kerület,budapest 14 kerulet,budapest 14 kerulet,fováros,118759.0,budapest 14 kerulet,0.010536828237162968,1686222.0,0.07042904196481839,
Budapest 15. kerület,budapest 15 kerulet,budapest 15 kerulet,fováros,75236.0,budapest 15 kerulet,0.006675273530858235,1686222.0,0.04461808706089708,
Budapest 16. kerület,budapest 16 kerulet,budapest 16 kerulet,fováros,72411.0,budapest 16 kerulet,0.006424626929169223,1686222.0,0.04294274419382501,
